ano,data_dados,id_estacao,precipitacao_total,temperatura_max,temperatura_min
2023,2023-11-15,A621,2.8,26.1,23.6
2023,2023-11-15,A621,0.0,25.0,24.6
2023,2023-11-15,A621,0.0,28.2,27.3
2023,2023-11-15,A621,0.0,29.6,27.3
2023,2023-11-15,A621,17.4,24.3,22.8
2023,2023-11-14,A621,0.0,38.9,33.4
2023,2023-11-14,A621,0.0,39.1,36.7
2023,2023-11-14,A621,0.0,28.8,27.8
2023,2023-11-14,A621,0.0,31.6,29.0
2023,2023-11-14,A621,0.0,28.3,27.6
2023,2023-11-14,A621,0.0,30.5,29.2
2023,2023-11-14,A621,0.0,29.2,28.5
2023,2023-11-14,A621,0.0,39.1,36.8
2023,2023-11-14,A621,0.0,35.0,31.6
2023,2023-11-14,A621,0.0,32.1,30.4
2023,2023-11-14,A621,0.0,28.8,27.9
2023,2023-11-14,A621,0.0,37.3,34.5
2023,2023-11-14,A621,0.0,34.5,31.3
2023,2023-11-14,A621,1.0,27.5,26.0
2023,2023-11-14,A621,0.0,25.6,24.5
2023,2023-11-14,A621,0.0,25.6,24.2
2023,2023-11-14,A621,0.0,27.2,26.2
2023,2023-11-14,A621,0.0,27.2,25.7
2023,2023-11-14,A621,0.0,26.4,25.7
2023,2023-11-14,A621,0.0,29.3,27.1
2023,2023-11-14,A621,0.0,28.4,27.1
2023,2023-11-14,A621,0.0,26.0,25.6
2023,2023-11-14,A621,0.0,27.9,26.6
2023,2023-11-14,A621,0.0,28.8,27.3
2023,2023-11-13,A621,0.0,34.2,32.6
2023,2023-11-13,A621,0.0,32.8,30.4
2023,2023-11-13,A621,0.0,33.2,30.5
2023,2023-11-13,A621,0.0,35.1,33.9
2023,2023-11-13,A621,0.0,30.7,28.5
2023,2023-11-13,A621,0.0,36.2,33.3
2023,2023-11-13,A621,0.0,29.2,28.5
2023,2023-11-13,A621,0.0,36.4,33.2
2023,2023-11-13,A621,0.0,34.6,33.3
2023,2023-11-13,A621,0.0,36.8,35.0
2023,2023-11-13,A621,0.0,35.3,33.6
2023,2023-11-13,A621,0.0,30.6,29.2
2023,2023-11-13,A621,0.0,28.5,26.0
2023,2023-11-13,A621,0.0,26.4,24.5
2023,2023-11-13,A621,0.0,26.7,25.2
2023,2023-11-13,A621,0.0,28.6,27.2
2023,2023-11-13,A621,0.0,24.1,23.7
2023,2023-11-13,A621,0.0,26.0,23.7
2023,2023-11-13,A621,0.0,27.2,25.4
2023,2023-11-13,A621,0.0,27.0,26.4
2023,2023-11-13,A621,0.0,24.8,23.9
2023,2023-11-13,A621,0.0,25.3,24.1
2023,2023-11-13,A621,0.0,26.5,25.1
2023,2023-11-13,A621,0.0,23.9,23.6
2023,2023-11-12,A621,0.0,29.7,28.5
2023,2023-11-12,A621,0.0,37.7,31.8
2023,2023-11-12,A621,0.0,38.1,36.2
2023,2023-11-12,A621,0.0,30.6,29.7
2023,2023-11-12,A621,0.0,36.4,34.1
2023,2023-11-12,A621,0.0,40.4,37.0
2023,2023-11-12,A621,0.0,39.8,37.9
2023,2023-11-12,A621,0.0,31.1,29.5
2023,2023-11-12,A621,0.0,34.4,31.5
2023,2023-11-12,A621,0.0,31.5,30.4
2023,2023-11-12,A621,0.0,31.7,30.3
2023,2023-11-12,A621,0.0,32.2,31.3
2023,2023-11-12,A621,0.0,28.5,26.0
2023,2023-11-12,A621,0.0,27.7,26.5
2023,2023-11-12,A621,0.0,24.4,24.2
2023,2023-11-12,A621,0.0,24.5,23.9
2023,2023-11-12,A621,0.0,24.7,23.9
2023,2023-11-12,A621,0.0,25.9,24.9
2023,2023-11-12,A621,0.0,25.2,24.1
2023,2023-11-12,A621,0.0,24.8,24.1
2023,2023-11-12,A621,0.0,25.1,24.6
2023,2023-11-12,A621,0.0,26.9,25.6
2023,2023-11-12,A621,0.0,29.6,25.3
2023,2023-11-12,A621,0.0,27.6,26.8
2023,2023-11-11,A621,0.0,31.5,29.3
2023,2023-11-11,A621,0.0,32.0,28.5
2023,2023-11-11,A621,0.0,35.5,34.1
2023,2023-11-11,A621,0.0,36.5,35.2
2023,2023-11-11,A621,0.0,36.8,35.9
2023,2023-11-11,A621,0.0,35.9,34.2
2023,2023-11-11,A621,0.0,34.2,32.0
2023,2023-11-11,A621,0.0,29.7,27.6
2023,2023-11-11,A621,0.0,37.1,36.0
2023,2023-11-11,A621,0.0,34.5,32.9
2023,2023-11-11,A621,0.0,33.1,31.1
2023,2023-11-11,A621,0.0,24.2,22.5
2023,2023-11-11,A621,0.0,22.7,22.2
2023,2023-11-11,A621,0.0,22.7,22.2
2023,2023-11-11,A621,0.0,24.9,24.2
2023,2023-11-11,A621,0.0,28.5,27.4
2023,2023-11-11,A621,0.0,22.5,21.9
2023,2023-11-11,A621,0.0,22.9,21.9
2023,2023-11-11,A621,0.0,25.8,22.9
2023,2023-11-11,A621,0.0,22.8,22.1
2023,2023-11-11,A621,0.0,25.0,24.6
2023,2023-11-11,A621,0.0,23.5,22.3
2023,2023-11-11,A621,0.0,22.6,22.3
2023,2023-11-11,A621,0.0,27.6,25.8
2023,2023-11-10,A621,0.0,32.4,30.4
2023,2023-11-10,A621,0.0,29.9,27.9
2023,2023-11-10,A621,0.0,32.2,31.2
2023,2023-11-10,A621,0.0,30.9,29.2
2023,2023-11-10,A621,0.0,32.1,30.8
2023,2023-11-10,A621,0.0,30.8,28.4
2023,2023-11-10,A621,0.0,28.2,26.0
2023,2023-11-10,A621,0.0,27.4,26.0
2023,2023-11-10,A621,0.0,26.1,25.5
2023,2023-11-10,A621,0.0,26.4,25.2
2023,2023-11-10,A621,0.0,27.2,26.2
2023,2023-11-10,A621,0.0,27.2,25.7
2023,2023-11-10,A621,0.0,25.8,25.4
2023,2023-11-10,A621,0.0,25.7,25.1
2023,2023-11-10,A621,0.0,26.0,25.1
2023,2023-11-10,A621,0.0,27.9,27.1
2023,2023-11-10,A621,0.0,28.8,27.1
2023,2023-11-10,A621,0.0,26.8,25.6
2023,2023-11-10,A621,0.0,28.7,27.3
2023,2023-11-10,A621,0.0,25.2,24.8
2023,2023-11-10,A621,0.0,25.2,24.8
2023,2023-11-10,A621,0.0,25.3,24.8
2023,2023-11-10,A621,0.0,28.0,25.8
2023,2023-11-10,A621,0.0,27.1,26.8
